Adderall_drugsCom	Adderall_MedEffect	Adderall_OpenFDA	Adderall_Twitter	sideefects
0.02008032128514056	0.006151142355008786	0.008966493629070316	0.04411034122107465	, depressed,depression moods,sadness,melancholic,depression,sad,feeling down,down feelings,down feeling,miserable,depressed mood,melancholy,depressing
0.00641025641025641	0.003996802557953637	0.010215170615083678	0.007884986858355236	, psychosis nos,psychotic disorder,disorder psychotic,psychotic,psychoses,psychotic disorders,nos psychosis,disorders psychotic,psychotic disorder nos,atypical psychosis,mental disorder,psychosis,psychose,psychotics
0.00528169014084507	0.0006165228113440197	0.011353837309571716	0.007101616628175518	, increase weight,gain weight,weight gain,weight increase,gains weight,gain wt,weight gaining,gaining wt,increasing weight,increased weight,increases weight,wt gain,gained weight
0.012919896640826873	0.011695906432748536	0.012140921409214092	0.006641034603285564	, heart rate, Heart rate
0.004057971014492754	0.0009250693802035152	0.00103260067856616	0.006034984529608186	, panics,panic,panicky,panic reaction
0.011261261261261259	0.0015267175572519086	0.007106233696141045	0.005906449461750975	, mental confusion,bewilderment,confusional state,dazing,confusional states,confused,confusion,daze,dazed,confusion mental
0.015384615384615384	0.0019157088122605363	0.006058044519582981	0.005266013468228386	, jumpiness,jittery feeling,jitteriness,feeling jittery
0.01839464882943144	0.0018018018018018016	0.007849094822129383	0.0047502929347309755	, mood swings, Mood swings
0.005305039787798408	0.003738317757009346	0.02182870167441045	0.004721796835119961	, abuses drugs,drug abuse,disorder drug abuse,abuse drug,abuses drug,abuse disorders drug
0.0028653295128939827	0.002775208140610545	0.004502424382359732	0.003997520917260614	, panic attack,attack panic,attacks panic,panic attacks
0.0028694404591104736	0.002775208140610545	0.004502424382359732	0.00396690116837636	, panic attack, Panic attack
0.007058823529411766	0.0009276437847866419	0.005552202776101388	0.00244374623123552	, disorder psychiatric,disease mental,mental disease,disorder mental,disorders health mental,disorder psychological,mental health disorder,disorder health mental,diseases mental,mental disorders,disorder mental health,psychological disorder,illnesses psychiatric,mental disorder disorder,disorders mental,psychiatric disorder,illness mental,disorders psychological,disorders psychiatric,illness psychiatric,mental illness,psychiatric disorders,illnesses mental,mental disorder,psychiatric illness
0.005376344086021507	0.003738317757009346	0.021134202183867558	0.0023961661341853034	, drug abuse, Drug abuse
0.005376344086021507	0.003738317757009346	0.021134202183867558	0.0023961661341853034	, drug abuser, Drug abuser
0.002267573696145125	0.0009389671361502347	0.00387396694214876	0.001944099180928705	, eating disorder,eating disorders,disordered eating,disorders eating,disorder eating
0.0022883295194508014	0.0009389671361502347	0.0037462860095594883	0.0018489002231431304	, eating disorder, Eating disorder
0.002570694087403599	0.0009372071227741332	0.0013059479995251098	0.0017532674529805547	, occluded,blocked,obstructions,obstruction,occlusions,blocks,occlusion,block,occluding
0.007537688442211055	0.0017809439002671413	0.0036565745209887375	0.0007031899252061624	, personality change,changes personality,change in personality, personality change, Personality change
0.00273224043715847	0.0019157088122605363	0.006058044519582981	0.0006714413607878246	, feeling jittery, Feeling jittery
0.0026809651474530827	0.0009478672985781992	0.0011492601637695732	0.0006376737661012626	, blood test, Blood test
0.006711409395973154	0.006167400881057269	0.008983451536643027	0.0006365372374283894	, depressed mood, Depressed mood
0.0022271714922049	0.0009514747859181732	0.0022630123208448576	0.0005741993109608267	, aches ear,ear pains,earaches,pain ear,ears pain,otalgia,pain in ear,earache,ear pain,ache ears,pain in the ear,ear aches,ache ear,ear ache
0.002808988764044944	0.0009532888465204957	0.005712202236266407	0.0005719369598373157	, disorder anxiety,anxiety disorder nos,anxiety disorder,anxiety disorders,anxieties disorder,disorders anxiety
0.00936768149882904	0.000925925925925926	0.005033328798802884	0.00047888133320563166	, increased appetite,appetite stimulating,appetite increasing,appetite increased,appetite increases,increased hunger,appetite increase,appetite stimulate,stimulate appetite,increase appetite
0.0027548209366391185	0.0009633911368015414	0.0016305959086866284	0.0004475989513395997	, brain injury, Brain injury
0.003076923076923077	0.0009532888465204957	0.0031574792790422307	0.00044532094916979455	, anxiety disorder, Anxiety disorder
0.011764705882352941	0.0009615384615384617	0.0016272189349112425	0.00041402592439249657	, major depression, Major depression
0.0027472527472527475	0.0009276437847866419	0.0054651596075021725	0.0003516848903382569	, mental disorder, Mental disorder
0.002277904328018223	0.0009514747859181732	0.002072270431291284	0.00035108997478535634	, ear pain, Ear pain
0.002564102564102564	0.0013831258644536654	0.006694479479965073	0.00019152807482363457	, muscle spasms,muscles spasms,muscle spasm,spasms,spasms muscle,muscles spasmed,of muscle spasm,muscles spasm,spasm,spasm muscle,muscular spasms,muscular spasm
0.002793296089385475	0.0009823182711198428	0.0003089757454039858	0.00015991812192157618	, addictions nicotine,addiction nicotine,nicotine addiction,dependence nicotine,nicotine dependence
0.0026881720430107533	0.000975609756097561	0.001053423626787058	0.00015989766549408382	, lack of interest,decreased interest,loss of interest
0.002444987775061125	0.0014655593551538837	0.004505894697858157	0.00015978014252388708	, extremities pains,pain extremity,limb pain,pain limb,extremities pain,pain extremities,limb ach,extremity pain,limbs pain,aching limbs
0.0106951871657754	0.0029211295034079843	0.0016646489104116225	0.00012790586128609343	, energy increasing,increased energy
0.002659574468085107	0.001520912547528517	0.006178707224334601	0.00012769353551476454	, drug withdrawal syndrome,drug withdrawal,drugs withdrawal,drug withdrawals
0.004830917874396135	0.001953125	0.0003048780487804878	9.589566551591868e-05	, negative thoughts, Negative thoughts
0.002583979328165375	0.005025125628140704	0.008996888926259144	9.580991313234543e-05	, suicidal ideation, Suicidal ideation
0.0027777777777777783	0.0006613756613756612	0.002534854245880861	6.395906619763352e-05	, allergic reaction drug,allergic reaction to drug,allergies drug,allergy drug,drug allergic reaction,drug allergy,allergic drugs reaction,allergy drugs,drugs hypersensitivity,allergies drugs,drug allergies,drug hypersensitivity,allergic drugs reactions,allergic drug reactions,allergic drug reaction,drugs allergic reaction
0.0026246719160104987	0.0019493177387914235	0.0024024024024024023	6.392635683692387e-05	, initial insomnia,trouble falling asleep
0.0027472527472527475	0.005977796754910333	0.0073414905450500546	3.198157861072023e-05	, vision impairment,impairments vision,abnormal vision,vision subnormal,impaired vision,decreased vision,low vision,visual loss,subnormal vision,partially sighted,vision impaired,impairments visual,cannot see properly,vision abnormal,visual impairment,sight impaired,reducing vision,poor vision,impairment visual,defects vision
0.005555555555555557	0.0029211295034079843	0.0016646489104116225	3.198157861072023e-05	, energy increased, Energy increased
