Alprazolam_drugsCom	Alprazolam_MedEffect	Alprazolam_OpenFDA	Alprazolam_Twitter	sideefects
0.3244937319189971	0.001541623843782117	0.0021422861710631486	0.04990209083443877	, panics,panic,panicky,panic reaction
0.005	0.0019286403085824488	0.011519980899513534	0.008808560615946755	, heart rate, Heart rate
0.007077435470441299	0.0005285412262156448	0.000543356665707802	0.008124515039481492	, weight, Weight
0.006044325050369375	0.0005268703898840885	0.0017675651789659747	0.007136832543956402	, upsetting,upset,distressed,upsets
0.00903225806451613	0.004245283018867925	0.0068511755651465295	0.005482246446101868	, disturbances sleeping,sleep disorders,problems sleeping,disorder sleeping,sleep disturbance,sleep disturbances,sleeping disorders,problem sleeping,disorders sleeping,problems sleep,disturbances sleep,problem sleep,sleep disordered,disorders sleeps,disturbance sleep,disturbance sleeping,disorder sleep,sleep problem,sleep disorder,disorders sleep,disturbed sleep
0.0034270047978067174	0.008329477093937991	0.01816939112604659	0.0053329864724245574	, mental confusion,bewilderment,confusional state,dazing,confusional states,confused,confusion,daze,dazed,confusion mental
0.002779708130646282	0.0015440041173443134	0.0071971089060394455	0.004247810743693635	, disorder psychiatric,disease mental,mental disease,disorder mental,disorders health mental,disorder psychological,mental health disorder,disorder health mental,diseases mental,mental disorders,disorder mental health,psychological disorder,illnesses psychiatric,mental disorder disorder,disorders mental,psychiatric disorder,illness mental,disorders psychological,disorders psychiatric,illness psychiatric,mental illness,psychiatric disorders,illnesses mental,mental disorder,psychiatric illness
0.011611030478955007	0.006220839813374807	0.09973275024295432	0.0040759976332916965	, abuses drugs,drug abuse,disorder drug abuse,abuse drug,abuses drug,abuse disorders drug
0.0025188916876574307	0.003391472868217053	0.005524698652800756	0.0036269430051813468	, burning sensation,burn sensation,burning,sensation burning,burning sensations
0.008281573498964804	0.0005285412262156448	0.0011131961451607774	0.003466998102963302	, cardiovascular collapse,shock disorder,circulatory collapse,collapse,vascular collapse,shocks,vascular shock,acute circulatory failure,shock,shocked,shocking,circulatory failure,disorders shock,shock, physiological,physiological shock,circulatory shock
0.0113314447592068	0.000496031746031746	0.0042288406935298735	0.002806238987143509	, cancer,tumor malignant,neoplasm cancer,blastoma,cancers,malignant tumors,malignant neoplasm,malignant neoplasms,malignant tumours,blastomas,malignancies,malignant tumor,malignant tumour,cancer nos,cancer neoplasms,ca cancer
0.007457627118644069	0.0018876828692779614	0.009272233982290332	0.002247335302427122	, psychosis nos,psychotic disorder,disorder psychotic,psychotic,psychoses,psychotic disorders,nos psychosis,disorders psychotic,psychotic disorder nos,atypical psychosis,mental disorder,psychosis,psychose,psychotics
0.002145922746781116	0.004245283018867925	0.0061823802163833074	0.0017069327731092435	, sleep disorder, Sleep disorder
0.008714596949891068	0.006220839813374807	0.09921250266046397	0.0016522371290727644	, drug abuse, Drug abuse
0.008714596949891068	0.006220839813374807	0.09921250266046397	0.0016522371290727644	, drug abuser, Drug abuser
0.0036049026676279743	0.02390998593530239	0.020659443205972315	0.0011926848661542539	, drug withdrawal syndrome,drug withdrawal,drugs withdrawal,drug withdrawals
0.0028169014084507052	0.007162041181736795	0.023376776901025503	0.0011262753411951769	, attempts suicides,attempted suicide,suicide attempts,attempt suicide,suicide attempt
0.009937888198757764	0.001038961038961039	0.002977776384666019	0.0009084420219323859	, Bipolar disorder, Bipolar I disorder, bipolar i disorder, bipolar disorder
0.002142857142857143	0.000513083632632119	0.001852026242270145	0.0007915567282321897	, vitamin a, vitamin d
0.0014534883720930232	0.0005162622612287042	0.0054562897229883675	0.0007265041939105737	, heart failure,heart failures,failure heart,cardiac failures,failure cardiac,heart weaknesses,myocardial failure,weak heart,cardiac failure,heart weakness,hearts weak,failures heart
0.002844950213371266	0.007162041181736795	0.023376776901025503	0.0005970941418430303	, suicide attempt, Suicide attempt
0.005784526391901663	0.0005189413596263622	0.007945062051550518	0.0005308912336585042	, car accident,accident car,accidents road traffic,road traffic accident,accidents cars,accidents car
0.006267409470752089	0.0010548523206751054	0.0020193096485139144	0.0005307855626326964	, disease ear,ear diseases,disorders ear,disorder ears,ear disorder,ear disorders,ear disease,diseases ear,diseases ears,diseases of the ear,disorders earing,disease ears,disease earrings
0.002886002886002886	0.0005268703898840885	0.0017675651789659747	0.00039806276122868704	, distressing,distress
0.0006920415224913495	0.0005136106831022085	0.003045812792413728	0.0003970091973797393	, increased appetite,appetite stimulating,appetite increasing,appetite increased,appetite increases,increased hunger,appetite increase,appetite stimulate,stimulate appetite,increase appetite
0.005606166783461808	0.0010559662090813089	0.0015271061338763044	0.00033202735905438614	, ear disorder, Ear disorder
0.0021660649819494585	0.003118503118503119	0.0027401525766775647	0.00033171896769057253	, neoplastic syndrome,neoplasia,neoplastic syndromes,nos tumor,neoplasm nos,tumours,neoplasms,diseases neoplastic,neoplasm,neoplastic disease,tumor,tumour,tumors,neoplastic growth,neoplasias
0.0021849963583394027	0.022727272727272728	0.0201535809434258	0.00026565716942285984	, drug dependence, Drug dependence
0.0014461315979754155	0.0005194805194805195	0.0021063883299798788	0.0002654456168292521	, eye dryness,eye dry,eye gritty,dry eye,eyes dry,dry eyes,gritty eye
0.000725689404934688	0.03083333333333333	0.0269538399819472	0.00019921641543263165	, withdrawal syndrome, Withdrawal syndrome
0.000725689404934688	0.03083333333333333	0.026953164176110718	0.00019917673615721688	, withdrawal syndrome,substance withdrawal syndrome,syndromes withdrawal
0.0007017543859649122	0.001026167265264238	0.0013524564383216961	0.00019903138061434352	, lack libido,libido decreased,loss libido,lack of libido,low libido,reduced libido,decreased libido,loss of libido,libido loss
0.001443001443001443	0.0005058168942842691	0.002576370997423629	0.000132687587076229	, dry skin,skin dryness,drying skin,skin dry,dryness skin
0.0014545454545454545	0.000445632798573975	0.007221234944007219	6.644076805527871e-05	, skeletal pain,ostealgia,ostalgia,bones pain,bones pains,bone pain,pain bones,bone pains,pain bone
0.0036337209302325577	0.0005302226935312832	3.227263925643839e-05	6.642752756742394e-05	, clammy skin,skin sticky,clammy,clamminess,sticky skin
0.001451378809869376	0.0015045135406218655	0.0026348808030112925	6.638343069569835e-05	, muscle twitching, Muscle twitching
0.0014503263234227706	0.0015045135406218655	0.0026345502446368085	6.638343069569835e-05	, fasciculations,fasciculations muscle,muscle flutter,muscle fasciculation,muscle twitching,fasciculation,muscular fasciculation,fasciculation muscles,fluttering muscle,flutters muscle,fasciculation muscle
